ptsMs,latencyMs,frameType
41958,10062,B
42000,10060,B
42041,10068,P
42083,10066,B
42125,10065,B
42166,10062,B
42208,10061,P
42250,10067,B
42291,10065,B
42333,10064,B
42375,10063,P
42416,10178,B
42458,10187,P
42500,10185,I
42541,10183,B
42583,10181,B
42625,10181,B
42666,10186,P
42708,10184,B
42750,10183,B
42791,10180,B
42833,10179,P
42875,10178,B
42916,10184,B
42958,10183,B
43000,10182,P
43041,10317,B
43083,10321,P
43125,10320,I
43166,10318,B
43208,10324,B
43250,10323,B
43291,10322,P
43333,10319,B
43375,10318,B
43416,10325,B
43458,10323,P
43500,10321,B
43541,10319,B
43583,10318,B
43625,10324,P
43666,10454,B
43708,10457,P
43750,10455,I
43791,10462,B
43833,10459,B
43875,10458,B
43916,10456,P
43958,10462,B
44000,10461,B
44041,10459,B
44083,10458,P
44125,10456,B
44166,10463,B
44208,10460,B
44250,10460,P
44291,10653,B
44333,10655,P
44375,10654,I
44416,10654,B
44458,10659,B
44500,10653,B
44541,10655,P
44583,10662,B
44625,10661,B
44666,10658,B
44708,10657,P
44750,10655,B
44791,10661,B
44833,10660,B
44875,10658,P
44916,10773,B
44958,10775,P
45000,10781,I
45041,10779,B
45083,10777,B
45125,10776,B
45166,10775,P
45208,10781,B
45250,10779,B
45291,10778,B
45333,10775,P
45375,10775,B
45416,10780,B
45458,10779,B
45500,10777,P
45541,10910,B
45583,10911,P
45625,10911,I
45666,10915,B
45708,10910,B
45750,10920,B
45791,10910,P
45833,10915,B
45875,10914,B
45916,10913,B
45958,10915,P
46000,10912,B
46041,10911,B
46083,10913,B
46125,10911,P
46166,10973,B
46208,10980,P
46250,10975,I
46291,10977,B
46333,10975,B
46375,10974,B
46416,10980,P
46458,10978,B
46500,10977,B
46541,10975,B
46583,10982,P
46625,10981,B
46666,10978,B
46708,10977,B
46750,10976,P
46791,11154,B
46833,11155,P
46875,11154,I
46916,11160,B
46958,11158,B
47000,11157,B
47041,11155,P
47083,11162,B
47125,11160,B
47166,11159,B
47208,11157,P
47250,11155,B
47291,11162,B
47333,11160,B
47375,11159,P
47416,11232,B
47458,11234,P
47500,11233,I
47541,11240,P
47583,11237,B
47625,11237,B
47666,11371,B
47708,11370,P
47750,11371,P
47791,11371,B
47833,11371,B
47875,11378,B
47916,11377,P
47958,11375,B
48000,11374,B
48041,11596,B
48083,11602,P
48125,11595,I
48166,11597,B
48208,11596,B
48250,11603,B
48291,11596,P
48333,11600,B
48375,11598,B
48416,11605,B
48458,11602,P
48500,11601,B
48541,11600,B
48583,11598,B
48625,11604,P
48666,11798,B
48708,11801,P
48750,11799,I
48791,11805,B
48833,11803,B
48875,11802,B
48916,11800,P
48958,11798,B
49000,11805,B
49041,11804,B
49083,11801,P
49125,11800,B
49166,11806,B
49208,11804,B
49250,11804,P
49291,12040,B
49333,12046,P
49375,12047,I
49416,12044,B
49458,12042,B
49500,12041,B
49541,12047,P
49583,12045,B
49625,12044,B
49666,12042,B
49708,12049,P
49750,12048,B
49791,12045,B
49833,12044,B
49875,12042,P
49916,12216,B
49958,12217,P
50000,12220,I
50041,12218,B
50083,12216,B
50125,12224,B
50166,12217,P
50208,12220,B
50250,12219,B
50291,12225,B
50333,12223,P
50375,12223,B
50416,12220,B
50458,12218,B
50500,12216,P
50541,12379,B
50583,12381,P
50625,12389,I
50666,12387,B
50708,12385,B
50750,12384,B
50791,12381,P
50833,12387,B
50875,12386,B
50916,12384,B
50958,12382,P
51000,12381,B
51041,12388,B
51083,12385,B
51125,12384,P
51166,12539,P
51208,12539,P
51250,12547,I
51291,12545,P
51333,12543,P
51375,12542,P
51416,12539,P
51458,12547,P
51500,12545,P
51541,12544,P
51583,12542,P
51625,12549,P
51666,12546,P
51708,12545,P
51750,12543,P
51791,12841,P
51833,12841,P
51875,12850,I
51916,12842,B
51958,12847,B
52000,12845,B
52041,12842,P
52083,12849,P
52125,12849,P
52166,12847,B
52208,12844,P
52250,12842,P
52291,12850,P
52333,12848,P
52375,12847,P
52416,13085,B
52458,13090,P
52500,13086,I
52541,13084,P
52583,13085,P
52625,13085,B
52666,13090,P
52708,13088,B
52750,13087,B
52791,13093,B
52833,13091,P
52875,13090,B
52916,13088,B
52958,13086,B
53000,13093,P
53041,13246,B
53083,13249,P
53125,13247,I
53166,13246,B
53208,13252,B
53250,13251,B
53291,13249,P
53333,13247,B
53375,13254,B
53416,13253,B
53458,13251,P
53500,13249,B
53541,13247,B
53583,13254,B
53625,13253,P
53666,13425,P
53708,13433,P
53750,13431,I
53791,13429,P
53833,13425,P
53875,13426,P
53916,13432,P
53958,13430,P
54000,13429,P
54041,13427,P
54083,13434,P
54125,13433,P
54166,13430,P
54208,13428,P
54250,13427,P
54291,13729,P
54333,13728,P
54375,13734,I
54416,13732,P
54458,13730,P
54500,13738,P
54541,13735,P
