pts_sec latencyMs frameType
51.375 12542 P
51.416 12539 P
51.458 12547 P
51.5 12545 P
51.541 12544 P
51.583 12542 P
51.625 12549 P
51.666 12546 P
51.708 12545 P
51.75 12543 P
51.791 12841 P
51.833 12841 P
51.875 12850 I
51.916 12842 B
51.958 12847 B
52.0 12845 B
52.041 12842 P
52.083 12849 P
52.125 12849 P
52.166 12847 B
52.208 12844 P
52.25 12842 P
52.291 12850 P
52.333 12848 P
52.375 12847 P
52.416 13085 B
52.458 13090 P
52.5 13086 I
52.541 13084 P
52.583 13085 P
52.625 13085 B
52.666 13090 P
52.708 13088 B
52.75 13087 B
52.791 13093 B
52.833 13091 P
52.875 13090 B
52.916 13088 B
52.958 13086 B
53.0 13093 P
53.041 13246 B
53.083 13249 P
53.125 13247 I
53.166 13246 B
53.208 13252 B
53.25 13251 B
53.291 13249 P
53.333 13247 B
53.375 13254 B
53.416 13253 B
53.458 13251 P
53.5 13249 B
53.541 13247 B
53.583 13254 B
53.625 13253 P
53.666 13425 P
53.708 13433 P
53.75 13431 I
53.791 13429 P
53.833 13425 P
53.875 13426 P
53.916 13432 P
53.958 13430 P
54.0 13429 P
54.041 13427 P
54.083 13434 P
54.125 13433 P
54.166 13430 P
54.208 13428 P
54.25 13427 P
54.291 13729 P
54.333 13728 P
54.375 13734 I
54.416 13732 P
54.458 13730 P
54.5 13738 P
54.541 13735 P
54.583 13733 P
54.625 13733 P
54.666 13730 B
54.708 13736 B
54.75 13735 B
54.791 13733 P
54.833 13732 B
54.875 13730 B
54.916 14012 B
54.958 14013 P
55.0 14013 I
55.041 14013 B
55.083 14016 B
55.125 14012 B
55.166 14014 P
55.208 14020 B
55.25 14020 B
55.291 14017 B
55.333 14015 P
55.375 14014 P
55.416 14020 B
55.458 14018 B
55.5 14018 B
55.541 14273 P
55.583 14274 P
55.625 14274 I
55.666 14275 P
55.708 14275 P
55.75 14275 B
55.791 14277 P
55.833 14283 B
55.875 14283 B
55.916 14281 B
55.958 14278 P
56.0 14396 B
56.041 14396 P
56.083 14400 B
56.125 14400 B
56.166 14539 B
56.208 14539 P
56.25 14547 I
56.291 14545 P
56.333 14543 P
56.375 14539 P
56.416 14540 P
56.458 14546 B
56.5 14546 B
56.541 14544 B
56.583 14541 P
56.625 14540 B
56.666 14546 B
56.708 14544 P
56.75 14543 B
56.791 14764 P
56.833 14771 P
56.875 14771 I
56.916 14769 P
56.958 14767 P
57.0 14765 P
57.041 14772 P
57.083 14769 P
57.125 14768 P
57.166 14766 P
57.208 14771 P
57.25 14772 P
57.291 14769 P
57.333 14768 P
57.375 14767 P
57.416 14818 P
57.458 14827 P
57.5 14826 I
57.541 14824 P
57.583 14817 P
57.625 14820 P
57.666 14827 P
57.708 14824 B
57.75 14819 B
57.791 14822 B
57.833 14819 P
57.875 14827 B
57.916 14825 B
57.958 14823 P
58.0 14821 P
58.041 15083 P
58.083 15090 P
58.125 15087 I
58.166 15086 P
58.208 15084 P
58.25 15091 P
58.291 15090 P
58.333 15088 P
58.375 15086 P
58.416 15084 P
58.458 15090 P
58.5 15090 P
58.541 15088 P
58.583 15086 P
58.625 15084 P
58.666 15403 P
58.708 15405 P
58.75 15403 I
58.791 15403 P
58.833 15412 P
58.875 15405 P
58.916 15403 P
58.958 15406 P
59.0 15405 P
59.041 15412 P
59.083 15410 P
59.125 15409 P
59.166 15406 P
59.208 15404 P
59.25 15411 P
59.291 15668 P
59.333 15671 P
59.375 15670 I
59.416 15676 B
59.458 15675 B
59.5 15668 P
59.541 15672 B
59.583 15669 B
59.625 15676 B
59.666 15675 P
59.708 15672 B
59.75 15671 B
59.791 15670 B
59.833 15676 P
59.875 15674 B
59.916 15830 B
59.958 15830 P
60.0 15838 I
60.041 15835 P
60.083 15833 B
60.125 15832 B
60.166 15838 P
60.208 15836 B
60.25 15836 B
60.291 15834 B
60.333 15832 P
60.375 15838 B
60.416 15837 B
60.458 15834 P
60.5 15834 B
60.541 15832 B
60.583 15987 P
60.625 15988 I
60.666 15987 B
60.708 15992 P
60.75 15987 B
60.791 15989 B
60.833 15996 B
60.875 15995 P
60.916 15992 P
60.958 15990 P
61.0 15990 P
61.041 15996 P
61.083 15994 P
61.125 15992 P
61.166 16106 P
61.208 16108 P
61.25 16106 I
61.291 16113 B
61.333 16112 B
61.375 16111 B
61.416 16108 P
61.458 16114 P
61.5 16114 P
61.541 16112 P
61.583 16110 B
61.625 16108 B
61.666 16114 B
61.708 16113 P
61.75 16112 P
61.791 16309 B
61.833 16316 P
61.875 16315 I
61.916 16313 P
61.958 16310 P
62.0 16318 P
62.041 16315 P
62.083 16314 P
62.125 16313 B
62.166 16310 B
62.208 16317 B
62.25 16316 P
62.291 16313 B
62.333 16312 B
62.375 16309 B
62.416 16485 P
62.458 16486 P
62.5 16489 I
62.541 16486 P
62.583 16494 P
62.625 16492 P
62.666 16491 P
62.708 16489 B
62.75 16487 P
62.791 16493 P
62.833 16484 P
62.875 16490 P
62.916 16488 P
62.958 16486 P
63.0 16493 P
63.041 16874 P
63.083 16875 P
63.125 16876 I
63.166 16874 P
63.208 16873 P
63.25 16874 P
63.291 16881 P
63.333 16880 P
63.375 16879 P
63.416 16876 P
63.458 16883 P
63.5 16882 P
63.541 16879 B
63.583 16878 B
63.625 16876 B
63.666 16882 P
63.708 17115 P
63.75 17117 I
63.791 17117 B
63.833 17123 B
63.875 17116 B
63.916 17120 P
63.958 17115 B
64.0 17117 B
64.041 17124 B
64.083 17121 P
64.125 17121 B
64.166 17119 B
64.208 17116 B
64.25 17124 P
64.291 17130 B
64.333 17131 P
64.375 17134 I
64.416 17131 B
64.458 17139 B
64.5 17137 P
64.541 17130 B
64.583 17133 B
64.625 17130 B
64.666 17138 P
64.708 17136 B
64.75 17135 B
64.791 17133 B
64.833 17132 P
64.875 17138 B
64.916 17331 B
64.958 17332 P
65.0 17333 I
65.041 17331 B
65.083 17337 B
65.125 17336 B
65.166 17334 P
