ptsMs,latencyMs,frameType
84958,10408,P
85000,10414,I
85166,10248,P
85333,10508,P
85500,10341,P
85583,10463,P
85625,10469,I
85750,10344,P
85791,10400,P
85958,10235,P
86125,10497,P
86208,10414,P
86250,10475,I
86375,10350,P
86458,10371,P
86500,10371,P
86541,10376,P
86583,10374,P
86625,10372,P
86666,10782,P
86708,10785,P
86791,10701,P
86833,10737,P
86875,10738,I
86916,10736,P
86958,10744,P
87000,10737,P
87041,10739,P
87083,10739,P
87125,10736,P
87166,10743,P
87208,10742,P
87250,10739,P
87291,10746,P
87375,10667,P
87416,10960,P
87458,10961,P
87500,10961,I
87541,10968,P
87583,10967,P
87625,10964,P
87666,10962,P
87708,10961,P
87750,10968,P
87791,10966,P
87833,10965,P
88000,11181,P
88083,11098,P
88125,11223,I
88166,11231,P
88208,11230,P
88250,11228,P
88291,11226,P
88333,11225,P
88375,11231,P
88416,11229,P
88583,11384,P
88708,11259,P
88750,11317,I
88875,11192,P
88958,11276,P
89000,11278,P
89041,11284,P
89166,11159,P
89208,11587,P
89250,11588,P
89291,11594,P
89333,11593,P
89375,11591,I
89500,11471,P
89583,11392,P
89625,11388,P
89666,11455,P
89708,11457,P
89875,11291,P
89916,11449,P
89958,11451,P
90000,11449,I
90041,11451,P
90083,11449,P
90125,11457,P
90166,11455,P
90208,11454,P
90250,11451,P
90291,11457,P
90333,11457,P
90375,11455,P
90416,11453,P
90458,11452,P
90500,11457,P
90541,11795,P
90583,11799,P
90625,11796,I
90666,11795,P
90708,11802,P
90750,11800,P
90791,11797,P
90833,11805,P
90875,11803,P
90916,11801,P
90958,11800,P
91000,11797,P
91041,11803,P
91083,11803,P
91125,11801,P
91166,11873,P
91208,11877,P
91250,11875,I
91291,11881,P
91333,11976,P
91375,11983,P
91458,11900,P
91625,12099,P
91791,11932,P
91833,11947,P
91875,11949,I
91916,11947,P
91958,11952,P
92000,11948,P
92041,11948,P
92083,11955,P
92250,11793,P
92333,11715,P
92375,11711,P
92416,12088,P
92458,12091,P
92500,12090,I
92666,12003,P
92833,11837,P
92958,12166,P
93000,12174,P
93041,12172,P
93083,12171,P
93125,12168,I
93166,12175,P
93208,12185,P
93291,12101,P
93333,12535,P
93375,12543,P
93541,12376,P
93708,12409,P
93750,12416,I
93875,12291,P
94041,12508,P
94208,12342,P
94333,12484,P
94375,12487,I
94541,12320,P
94708,12233,P
94791,12149,P
94916,12456,P
94958,12464,P
95000,12461,I
95041,12460,P
95083,12458,P
95125,12465,P
95166,12463,P
95208,12461,P
95250,12460,P
95291,12457,P
95333,12465,P
95375,12463,P
95416,12460,P
95458,12460,P
95500,12458,P
95541,12656,P
95583,12663,P
95625,12661,I
95666,12658,P
95708,12666,P
95750,12664,P
95791,12662,P
95833,12660,P
95875,12659,P
95916,12665,P
95958,12664,P
96000,12662,P
96041,12660,P
96083,12659,P
96125,12664,P
96166,12979,P
96208,12982,P
96250,12988,I
96291,12979,P
96333,12981,P
96416,12957,P
96541,12833,P
96708,13185,P
96750,13192,P
96791,13190,P
96833,13188,P
96875,13204,I
97000,13079,P
97166,13057,P
97208,13062,P
97250,13060,P
97291,13067,P
97333,13343,P
97458,13218,P
97500,13368,I
97541,13376,P
97583,13375,P
97708,13250,P
97875,13489,P
98041,13323,P
98083,13546,P
98125,13553,I
98291,13386,P
98458,13628,P
98625,13461,P
98708,13623,P
98750,13623,I
98916,13456,P
99083,13290,P
99250,13511,P
99333,13429,P
99375,13453,I
99500,13328,P
99666,13447,P
99708,13450,P
99875,13283,P
99916,13425,P
99958,13431,P
100000,13430,I
100041,13427,P
100125,13505,P
100291,13339,P
100375,13379,P
100458,13296,P
100541,13728,P
100583,13735,P
100625,13729,I
100750,13604,P
100875,13484,P
100958,13406,P
101000,13788,P
101125,13663,P
101208,13787,P
101250,13788,I
