pts_sec latencyMs frameType
69.708 8113 P
69.75 8120 P
69.791 8118 P
69.958 7952 P
70.0 8068 I
70.166 7902 P
70.333 8191 P
70.5 8024 P
70.583 8103 P
70.625 8109 I
70.708 8026 P
70.75 8032 P
70.791 8030 P
70.958 7869 P
71.125 7707 P
71.166 8140 P
71.208 8150 P
71.25 8148 I
71.416 7981 P
71.583 8281 P
71.75 8114 P
71.833 8336 P
71.875 8338 I
72.041 8171 P
72.208 8441 P
72.375 8274 P
72.458 8434 P
72.5 8436 I
72.625 8311 P
72.791 8537 P
72.958 8371 P
73.083 8289 P
73.125 8297 I
73.208 8214 P
73.25 8218 P
73.291 8218 P
73.333 8217 P
73.375 8323 P
73.416 8323 P
73.5 8240 P
73.666 8468 P
73.708 8473 P
73.75 8472 I
73.916 8305 P
74.041 8185 P
74.083 8237 P
74.125 8241 P
74.166 8238 P
74.208 8246 P
74.25 8244 P
74.291 8525 P
74.333 8529 P
74.375 8526 I
74.416 8533 P
74.458 8560 P
74.541 8477 P
74.583 8626 P
74.625 8628 P
74.666 8626 P
74.708 8633 P
74.75 8632 P
74.791 8630 P
74.833 8913 P
74.875 8915 P
74.916 8921 P
74.958 8919 P
75.0 8918 I
75.041 8989 P
75.083 8995 P
75.125 8989 P
75.166 8990 P
75.333 8829 P
75.375 9009 P
75.416 9013 P
75.458 9011 P
75.5 9152 P
75.583 9069 P
75.625 9190 I
75.791 9023 P
75.958 9377 P
76.125 9211 P
76.208 9333 P
76.25 9340 I
76.416 9173 P
76.583 9453 P
76.75 9286 P
76.833 9429 P
76.875 9435 I
77.041 9268 P
77.208 9534 P
77.375 9367 P
77.458 9486 P
77.5 9490 I
77.666 9323 P
77.833 9564 P
78.0 9398 P
78.083 9559 P
78.125 9561 I
78.291 9394 P
78.458 9625 P
78.625 9458 P
78.708 9597 P
78.75 9600 I
78.916 9434 P
79.041 9716 P
79.208 9550 P
79.333 9672 P
79.375 9679 I
79.541 9512 P
79.708 9346 P
79.875 9609 P
79.916 9617 P
79.958 9615 P
80.0 9614 I
80.125 9561 P
80.291 9394 P
80.458 9705 P
80.583 9580 P
80.625 9704 I
80.791 9538 P
80.958 9870 P
81.125 9703 P
81.208 9822 P
81.25 9827 I
81.416 9661 P
81.583 9942 P
81.75 9775 P
81.833 9899 P
81.875 9906 I
82.041 9740 P
82.208 9958 P
82.375 9792 P
82.458 9915 P
82.5 9922 I
82.666 9755 P
82.833 10014 P
83.0 9847 P
83.083 9925 P
83.125 9929 I
83.291 9762 P
83.458 9695 P
83.5 9697 P
83.541 9694 P
83.583 9703 P
83.625 9701 P
83.666 10153 P
83.708 10161 P
83.75 10160 I
83.916 9994 P
84.083 9900 P
84.166 9816 P
84.25 10206 P
84.333 10123 P
84.375 10182 I
84.458 10099 P
84.5 10181 P
84.541 10184 P
84.583 10181 P
84.625 10181 P
84.666 10186 P
84.708 10186 P
84.75 10181 P
84.916 10405 P
84.958 10408 P
85.0 10414 I
85.166 10248 P
85.333 10508 P
85.5 10341 P
85.583 10463 P
85.625 10469 I
85.75 10344 P
85.791 10400 P
85.958 10235 P
86.125 10497 P
86.208 10414 P
86.25 10475 I
86.375 10350 P
86.458 10371 P
86.5 10371 P
86.541 10376 P
86.583 10374 P
86.625 10372 P
86.666 10782 P
86.708 10785 P
86.791 10701 P
86.833 10737 P
86.875 10738 I
86.916 10736 P
86.958 10744 P
87.0 10737 P
87.041 10739 P
87.083 10739 P
87.125 10736 P
87.166 10743 P
87.208 10742 P
87.25 10739 P
87.291 10746 P
87.375 10667 P
87.416 10960 P
87.458 10961 P
87.5 10961 I
87.541 10968 P
87.583 10967 P
87.625 10964 P
87.666 10962 P
87.708 10961 P
87.75 10968 P
87.791 10966 P
87.833 10965 P
88.0 11181 P
88.083 11098 P
88.125 11223 I
88.166 11231 P
88.208 11230 P
88.25 11228 P
88.291 11226 P
88.333 11225 P
88.375 11231 P
88.416 11229 P
88.583 11384 P
88.708 11259 P
88.75 11317 I
88.875 11192 P
88.958 11276 P
89.0 11278 P
89.041 11284 P
89.166 11159 P
89.208 11587 P
89.25 11588 P
89.291 11594 P
89.333 11593 P
89.375 11591 I
89.5 11471 P
89.583 11392 P
89.625 11388 P
89.666 11455 P
89.708 11457 P
89.875 11291 P
89.916 11449 P
89.958 11451 P
90.0 11449 I
90.041 11451 P
90.083 11449 P
90.125 11457 P
90.166 11455 P
90.208 11454 P
90.25 11451 P
90.291 11457 P
90.333 11457 P
90.375 11455 P
90.416 11453 P
90.458 11452 P
90.5 11457 P
90.541 11795 P
90.583 11799 P
90.625 11796 I
90.666 11795 P
90.708 11802 P
90.75 11800 P
90.791 11797 P
90.833 11805 P
90.875 11803 P
90.916 11801 P
90.958 11800 P
91.0 11797 P
91.041 11803 P
91.083 11803 P
91.125 11801 P
91.166 11873 P
91.208 11877 P
91.25 11875 I
91.291 11881 P
91.333 11976 P
91.375 11983 P
91.458 11900 P
91.625 12099 P
91.791 11932 P
91.833 11947 P
91.875 11949 I
91.916 11947 P
91.958 11952 P
92.0 11948 P
92.041 11948 P
92.083 11955 P
92.25 11793 P
92.333 11715 P
92.375 11711 P
92.416 12088 P
92.458 12091 P
92.5 12090 I
92.666 12003 P
92.833 11837 P
92.958 12166 P
93.0 12174 P
93.041 12172 P
93.083 12171 P
93.125 12168 I
93.166 12175 P
93.208 12185 P
93.291 12101 P
93.333 12535 P
93.375 12543 P
93.541 12376 P
93.708 12409 P
93.75 12416 I
93.875 12291 P
94.041 12508 P
94.208 12342 P
94.333 12484 P
94.375 12487 I
94.541 12320 P
94.708 12233 P
94.791 12149 P
94.916 12456 P
94.958 12464 P
95.0 12461 I
95.041 12460 P
95.083 12458 P
95.125 12465 P
95.166 12463 P
95.208 12461 P
95.25 12460 P
95.291 12457 P
95.333 12465 P
95.375 12463 P
95.416 12460 P
95.458 12460 P
95.5 12458 P
95.541 12656 P
95.583 12663 P
95.625 12661 I
95.666 12658 P
95.708 12666 P
95.75 12664 P
95.791 12662 P
95.833 12660 P
95.875 12659 P
95.916 12665 P
95.958 12664 P
96.0 12662 P
96.041 12660 P
96.083 12659 P
96.125 12664 P
96.166 12979 P
96.208 12982 P
96.25 12988 I
96.291 12979 P
96.333 12981 P
96.416 12957 P
96.541 12833 P
96.708 13185 P
96.75 13192 P
96.791 13190 P
96.833 13188 P
96.875 13204 I
97.0 13079 P
97.166 13057 P
97.208 13062 P
97.25 13060 P
97.291 13067 P
97.333 13343 P
97.458 13218 P
97.5 13368 I
97.541 13376 P
97.583 13375 P
97.708 13250 P
97.875 13489 P
98.041 13323 P
98.083 13546 P
98.125 13553 I
98.291 13386 P
98.458 13628 P
98.625 13461 P
98.708 13623 P
98.75 13623 I
98.916 13456 P
99.083 13290 P
99.25 13511 P
99.333 13429 P
99.375 13453 I
99.5 13328 P
99.666 13447 P
99.708 13450 P
99.875 13283 P
99.916 13425 P
99.958 13431 P
100.0 13430 I
100.041 13427 P
100.125 13505 P
100.291 13339 P
100.375 13379 P
100.458 13296 P
100.541 13728 P
100.583 13735 P
100.625 13729 I
100.75 13604 P
100.875 13484 P
100.958 13406 P
101.0 13788 P
101.125 13663 P
101.208 13787 P
101.25 13788 I
101.375 13663 P
101.541 13615 P
101.708 13449 P
101.791 13883 P
101.833 13893 P
101.875 13891 I
102.0 13766 P
102.083 13799 P
102.125 13800 P
102.166 13807 P
102.208 13806 P
102.25 13803 P
102.375 14024 P
102.458 13941 P
102.5 14042 I
102.583 13960 P
102.625 14125 P
102.666 14131 P
102.833 13965 P
103.0 14183 P
103.083 14100 P
103.125 14181 I
103.208 14098 P
103.25 14305 P
103.291 14306 P
103.333 14313 P
103.5 14147 P
103.666 14424 P
103.708 14426 P
103.75 14424 I
103.916 14258 P
103.958 14264 P
104.0 14261 P
104.041 14259 P
104.083 14266 P
104.125 14265 P
104.166 14263 P
104.208 14262 P
104.25 14260 P
104.291 14398 P
104.333 14401 P
104.375 14407 I
104.416 14405 P
104.458 14404 P
104.5 14402 P
104.541 14400 P
104.583 14407 P
104.625 14405 P
104.666 14403 P
104.708 14401 P
104.75 14408 P
104.791 14406 P
104.833 14405 P
104.875 14402 P
104.916 14742 P
104.958 14744 P
105.0 14741 I
105.041 14748 P
105.083 14742 P
105.125 14744 P
105.166 14743 P
105.208 14750 P
105.25 14748 P
105.291 14746 P
105.333 14744 P
105.375 14743 P
105.541 14983 P
105.583 14985 P
105.625 14985 I
105.666 14987 P
105.708 14986 P
105.75 14984 P
105.791 14989 P
105.833 14985 P
105.875 14984 P
105.916 14983 P
105.958 15062 P
106.0 15064 P
106.041 15062 P
106.083 15067 P
106.166 15330 P
106.208 15334 P
106.25 15331 I
106.291 15338 P
106.333 15337 P
106.375 15335 P
106.5 15215 P
106.583 15266 P
106.625 15269 P
106.708 15186 P
106.791 15548 P
106.833 15551 P
106.875 15549 I
106.916 15553 P
106.958 15549 P
107.0 15549 P
107.041 15556 P
107.125 15478 P
107.208 15857 P
107.333 15732 P
107.458 15793 P
107.5 15793 I
107.541 15800 P
107.708 15634 P
107.791 15705 P
107.833 15706 P
107.958 15581 P
108.0 15581 P
108.041 15952 P
108.083 15954 P
108.125 15961 I
108.166 15959 P
108.333 15798 P
108.375 15885 P
108.541 15719 P
108.583 16216 P
108.625 16216 P
108.666 16218 P
108.708 16217 P
108.75 16224 I
108.791 16233 P
108.875 16150 P
109.041 16397 P
109.208 16231 P
109.333 16272 P
109.375 16279 I
109.541 16113 P
109.666 16082 P
109.791 15957 P
109.916 16368 P
109.958 16375 P
110.0 16374 I
110.041 16372 P
110.125 16294 P
110.208 16282 P
110.291 16198 P
110.458 16484 P
110.583 16360 P
110.625 16442 I
110.708 16359 P
110.875 16316 P
111.041 16149 P
111.125 16603 P
111.166 16604 P
111.208 16603 P
111.25 16612 I
111.291 16625 P
111.375 16542 P
111.458 16622 P
111.5 16625 P
111.583 16543 P
111.666 16459 P
111.708 16826 P
111.75 16827 P
111.791 16830 P
111.833 16829 P
111.875 16826 I
111.916 16967 P
111.958 16976 P
112.0 16968 P
112.125 16843 P
112.208 16884 P
112.291 16800 P
112.416 17298 P
112.458 17308 P
112.5 17306 I
112.583 17223 P
112.75 17062 P
112.916 16900 P
113.0 17268 P
113.083 17185 P
113.125 17265 I
113.291 17099 P
113.375 17139 P
113.458 17057 P
113.625 17366 P
113.666 17371 P
113.708 17370 P
113.75 17367 I
113.875 17247 P
113.916 17340 P
113.958 17344 P
114.125 17177 P
114.166 17183 P
114.291 17521 P
114.333 17522 P
114.375 17527 I
114.541 17458 P
114.708 17292 P
114.875 17295 P
