at_sec latencyMs frameType
91.559 601 B
91.600 599 B
91.636 594 B
91.846 762 P
91.894 768 P
91.936 769 I
91.976 767 B
92.015 764 B
92.222 930 B
92.272 938 P
92.272 480 I
92.320 486 P
92.358 482 P
92.400 483 P
92.445 486 P
92.488 487 P
92.527 485 P
92.565 480 P
92.607 481 P
92.651 483 P
92.892 683 P
92.936 685 P
92.936 519 I
92.978 518 P
93.024 522 P
93.062 520 P
93.112 528 P
93.148 522 P
93.192 525 P
93.231 522 P
93.528 777 P
93.575 783 P
93.575 533 I
93.630 546 P
93.680 554 P
93.715 548 P
93.760 551 P
93.799 548 P
94.093 801 P
94.144 810 P
94.144 477 I
94.191 482 P
94.230 479 P
94.271 479 P
94.318 484 B
94.353 477 B
94.399 482 P
94.439 480 B
94.479 478 P
94.523 481 P
94.817 733 B
94.863 737 P
94.864 571 I
94.906 572 P
94.952 575 P
94.991 574 P
95.032 573 P
95.075 574 B
95.120 578 P
95.469 885 B
95.520 894 P
95.520 603 I
95.568 608 P
95.606 605 B
95.647 605 B
95.694 610 B
95.736 610 P
96.056 889 B
96.104 894 P
96.104 562 I
96.152 567 P
96.191 565 B
96.231 564 B
96.271 562 B
96.315 563 P
96.359 567 P
96.398 564 B
96.439 563 B
96.710 792 B
96.757 798 P
96.757 590 I
96.808 599 P
96.848 596 B
96.887 595 P
96.927 593 B
97.209 832 B
97.209 749 P
97.258 466 I
97.303 469 B
97.343 467 B
97.391 474 B
97.428 468 P
97.471 470 B
97.512 469 B
97.550 466 P
97.599 473 B
97.931 763 B
97.975 766 P
97.976 558 I
98.018 558 P
98.064 562 B
98.100 558 P
98.144 559 B
98.189 562 P
98.232 565 B
98.271 562 P
98.312 560 B
98.360 567 B
98.565 731 B
98.615 738 P
98.615 572 I
98.654 569 B
98.702 576 P
98.744 576 B
98.783 574 B
98.824 572 B
98.863 571 P
98.906 572 B
98.945 568 B
99.235 817 B
99.279 820 P
99.280 612 I
99.323 613 P
99.388 637 B
99.431 639 P
99.478 643 B
99.519 643 P
99.769 852 P
99.769 768 P
99.940 647 I
99.984 650 P
100.027 650 P
100.072 654 P
100.112 652 B
100.201 699 B
100.248 705 P
100.248 330 I
100.544 584 B
100.592 590 P
100.627 585 B
100.671 587 B
100.712 585 B
100.759 592 P
100.799 589 B
100.840 588 B
101.040 747 B
101.087 752 P
101.087 545 I
101.129 545 B
101.175 549 B
101.215 547 B
101.255 546 P
101.300 549 B
101.343 551 P
101.629 795 B
101.677 800 P
101.677 509 I
101.727 518 B
101.765 513 B
101.808 515 P
101.848 513 P
101.887 510 P
101.933 515 B
101.973 514 B
102.016 515 B
102.055 512 P
102.096 511 P
102.142 516 B
102.178 511 B
102.316 607 P
102.359 607 P
102.400 607 I
102.448 613 B
102.486 609 B
102.527 610 B
102.567 607 P
102.616 614 B
102.655 613 B
102.694 609 B
102.735 609 P
102.778 611 B
102.823 614 B
102.863 612 B
102.903 610 P
103.538 1203 P
103.584 1207 P
103.584 541 I
103.632 547 B
103.672 545 B
103.709 542 B
103.758 548 P
103.799 548 P
103.839 547 P
103.880 545 B
103.919 543 B
104.155 737 B
104.200 740 P
104.200 532 I
104.242 532 B
104.288 536 B
104.326 534 B
104.367 533 P
104.413 536 B
104.456 538 B
104.496 536 B
104.741 739 P
104.784 741 P
104.784 492 I
104.826 491 P
104.872 495 P
104.911 493 P
104.960 500 P
104.997 495 P
105.039 497 P
105.079 494 P
105.118 492 P
105.167 499 P
105.207 497 P
105.247 496 B
105.285 493 B
105.469 635 P
105.517 640 P
105.557 639 I
105.596 636 B
105.639 637 B
105.680 637 P
105.723 639 B
105.762 635 B
105.802 635 B
105.847 637 P
105.887 636 B
105.931 638 B
105.969 634 B
106.015 638 P
106.020 477 I
106.060 476 B
106.098 471 B
106.143 475 B
106.183 474 P
106.227 475 B
106.271 478 B
106.311 477 B
106.352 475 P
106.394 476 B
106.434 475 B
106.476 474 B
106.519 477 P
106.559 475 B
106.600 473 P
106.640 473 I
106.687 477 B
