at,ptsMs,payloadSizeBytes,frameType
30125,30583,3732,P
30137,30541,894,B
30409,30625,22986,I
30430,30791,1699,P
30443,30708,1029,B
30454,30666,731,B
30463,30750,662,B
30503,30958,3501,P
30516,30875,986,B
30527,30833,841,B
30537,30916,695,B
30617,31125,4553,P
30629,31041,1123,B
30641,31000,929,B
30678,31083,795,B
30746,31208,3332,P
30759,31166,873,B
31029,31250,22494,I
31064,31416,3225,P
31079,31333,1062,B
31089,31291,791,B
31100,31375,775,B
31152,31583,4772,P
31170,31500,1365,B
31181,31458,782,B
31192,31541,749,B
31248,31750,5229,P
31264,31666,1238,B
31275,31625,765,B
31301,31708,702,B
31367,31833,2962,P
31388,31791,921,B
31663,31875,23488,I
31696,32000,2873,P
31709,31916,1001,B
31718,31958,680,B
31794,32166,6972,P
31809,32083,1269,B
31821,32041,831,B
31832,32125,841,B
31891,32291,5444,P
31906,32208,1080,B
31916,32250,813,B
31959,32375,3768,P
31968,32333,677,B
32016,32458,4238,P
32026,32416,657,B
32260,32500,20751,I
32286,32583,2209,P
32294,32541,549,B
32345,32708,4630,P
32357,32625,866,B
32367,32666,671,B
32407,32791,3529,P
32417,32750,698,B
32459,32875,3863,P
32469,32833,622,B
32534,33041,5914,P
32546,32958,1013,B
32556,32916,725,B
32594,33000,746,B
32650,33083,2146,P
32911,33125,23028,I
32947,33291,3254,P
32957,33208,693,B
32966,33166,680,B
32976,33250,607,B
33031,33458,4990,P
33041,33375,744,B
33050,33333,655,B
33059,33416,618,B
33118,33625,5486,P
33133,33541,1024,B
33144,33500,819,B
33178,33583,738,B
33245,33708,3386,P
33259,33666,639,B
33531,33750,22685,I
33556,33916,2093,P
33568,33833,889,B
33575,33791,545,B
33585,33875,671,B
33638,34083,4803,P
33651,34000,932,B
33661,33958,753,B
33671,34041,672,B
33717,34250,4015,P
33732,34166,1078,B
33761,34125,886,B
33802,34208,785,B
33866,34333,2942,P
33881,34291,807,B
34163,34375,23455,I
34185,34541,1742,P
34196,34458,853,B
34206,34416,659,B
34214,34500,680,B
34253,34708,3367,P
34266,34625,1001,B
34276,34583,778,B
34286,34666,680,B
34339,34875,4260,P
34350,34791,1040,B
34387,34750,842,B
34427,34833,655,B
34486,34958,2799,P
34506,34916,768,B
34773,35000,22069,I
34800,35166,2226,P
34810,35083,817,B
34821,35041,720,B
34829,35125,599,B
34867,35333,3468,P
34880,35250,921,B
34892,35208,775,B
34901,35291,608,B
34957,35500,4042,P
34969,35416,850,B
35013,35375,890,B
35051,35458,684,B
35128,35583,4389,P
35138,35541,801,B
35405,35625,22780,I
35430,35791,2165,P
35441,35708,850,B
35451,35666,683,B
35459,35750,659,B
35501,35958,3745,P
35516,35875,1001,B
35527,35833,824,B
35536,35916,683,B
35582,36125,4070,P
35597,36041,1159,B
35637,36000,865,B
35677,36083,769,B
35737,36208,2846,P
